frame,vehicle_id,vehicle_type,detected,plate_detected,plate_text,individual_toll,total_toll
2178,82,LCV,True,True,LES-3556,500,3000
2179,82,LCV,True,True,LES-3556,500,3000
2180,82,LCV,True,True,LES-3556,500,3000
2181,82,LCV,True,True,LES-3556,500,3000
2182,82,LCV,True,True,LES-3556,500,3000
2183,82,LCV,True,True,LES-3556,500,3000
2184,82,LCV,True,True,LES-3556,500,3000
2185,82,LCV,True,True,LES-3556,500,3000
2186,82,LCV,True,True,LES-3556,500,3000
2187,82,LCV,True,True,LES-3556,500,3000
2188,82,LCV,True,True,LES-3556,500,3000
2189,82,LCV,True,True,LES-3556,500,3000
2190,82,LCV,True,True,LES-3556,500,3000
2191,82,LCV,True,True,LES-3556,500,3000
2192,82,LCV,True,True,LES-3556,500,3000
2193,82,LCV,True,True,LES-3556,500,3000
2194,82,LCV,True,True,LES-3556,500,3000
2195,82,LCV,True,True,LES-3556,500,3000
2196,82,LCV,True,True,LES-3556,500,3000
2197,82,LCV,True,True,LES-3556,500,3000
2198,82,LCV,True,True,LES-3556,500,3000
2199,82,LCV,True,True,LES-3556,500,3000
2200,82,LCV,True,True,LES-3556,500,3000
2201,82,LCV,True,True,LES-3556,500,3000
2202,82,LCV,True,True,LES-3556,500,3000
2203,82,LCV,True,True,LES-3556,500,3000
2204,82,LCV,True,True,LES-3556,500,3000
2205,82,LCV,True,True,LES-3556,500,3000
2206,82,LCV,True,True,LES-3556,500,3000
2207,82,LCV,True,True,LES-3556,500,3000
2208,82,LCV,True,True,LES-3556,500,3000
2209,82,LCV,True,True,LES-3556,500,3000
2210,82,LCV,True,True,LES-3556,500,3000
2211,82,LCV,True,True,LES-3556,500,3000
2212,82,LCV,True,True,LES-3556,500,3000
2213,82,LCV,True,True,LES-3556,500,3000
2214,82,LCV,True,True,LES-3556,500,3000
2215,82,LCV,True,True,LES-3556,500,3000
2216,82,LCV,True,True,LES-3556,500,3000
2217,82,LCV,True,True,LES-3556,500,3000
2218,82,LCV,True,True,LES-3556,500,3000
