frame,vehicle_id,v_x1,v_y1,v_x2,v_y2,vehicle_type,bbox_area,detected,plate_detected,p_x1,p_y1,p_x2,p_y2,plate_text,individual_toll,total_toll
87,88,399,191,456,247,Car,27034,True,False,0,0,0,0,,500,1000
87,87,425,199,610,346,Car,3197,True,True,523,304,561,326,DETECTED,500,1000
88,88,399,192,456,248,Car,27237,True,False,0,0,0,0,,500,1000
88,87,426,199,611,347,Car,3203,True,True,522,305,560,326,DETECTED,500,1000
89,88,399,191,456,248,Car,27393,True,False,0,0,0,0,,500,1000
89,87,426,199,611,347,Car,3194,True,True,522,305,560,326,DETECTED,500,1000
90,88,399,191,456,248,Car,27739,True,False,0,0,0,0,,500,1000
90,87,426,200,613,347,Car,3181,True,True,525,305,561,325,DETECTED,500,1000
91,88,401,191,458,248,Car,28203,True,False,0,0,0,0,,500,1000
91,87,427,200,615,348,Car,3207,True,True,526,306,563,327,DETECTED,500,1000
92,88,401,193,459,249,Car,28462,True,False,0,0,0,0,,500,1000
92,87,429,201,617,350,Car,3323,True,True,528,308,565,328,DETECTED,500,1000
93,88,404,193,462,250,Car,28442,True,False,0,0,0,0,,500,1000
93,87,431,201,620,351,Car,3172,True,True,531,308,570,330,DETECTED,500,1000
94,88,406,195,464,252,Car,28601,True,False,0,0,0,0,,500,1000
94,87,433,203,623,353,Car,3295,True,True,534,310,572,331,DETECTED,500,1000
95,88,407,198,465,255,Car,28919,True,False,0,0,0,0,,500,1000
95,87,435,205,625,356,Car,3323,True,True,534,314,572,335,DETECTED,500,1000
96,88,408,200,466,257,Car,29159,True,False,0,0,0,0,,500,1000
96,87,435,208,626,359,Car,3393,True,True,534,315,573,337,DETECTED,500,1000
97,88,408,202,467,259,Car,29339,True,False,0,0,0,0,,500,1000
97,87,436,210,628,362,Car,3364,True,True,536,318,575,339,DETECTED,500,1000
98,88,408,203,467,260,Car,29610,True,False,0,0,0,0,,500,1000
98,87,436,211,629,364,Car,3303,True,True,537,320,576,341,DETECTED,500,1000
99,88,409,203,468,260,Car,30075,True,False,0,0,0,0,,500,1000
99,87,437,212,630,365,Car,3310,True,True,538,319,578,341,DETECTED,500,1000
100,88,409,202,469,259,Car,30437,True,False,0,0,0,0,,500,1000
100,87,438,211,633,364,Car,3307,True,True,540,319,580,341,DETECTED,500,1000
101,88,410,202,469,258,Car,30790,True,False,0,0,0,0,,500,1000
