frame,vehicle_id,v_x1,v_y1,v_x2,v_y2,vehicle_type,bbox_area,detected,plate_detected,p_x1,p_y1,p_x2,p_y2,plate_text,individual_toll,total_toll
113,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
114,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
115,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
116,100,113,363,283,491,Car,22910,True,True,191,456,225,476,AGX-929,500,500
117,100,114,362,289,491,Car,24141,True,True,192,454,227,475,AGX-929,500,500
118,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
119,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
120,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
121,100,112,361,286,491,Car,22699,True,True,195,454,230,475,AGX-929,500,500
122,100,111,361,285,492,Car,22828,True,True,196,455,232,477,AGX-929,500,500
123,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
124,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
125,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
126,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
127,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
128,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
129,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
130,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
131,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
132,100,114,363,291,498,Car,26097,True,True,200,464,237,486,AGX-929,500,500
133,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
134,100,115,364,295,501,Car,26568,True,True,201,465,239,488,AGX-929,500,500
135,100,114,363,298,503,Car,26667,True,True,202,467,240,490,AGX-929,500,500
136,100,114,363,299,503,Car,26761,True,True,203,467,241,490,AGX-929,500,500
137,100,114,363,301,504,Car,26940,True,True,203,466,241,489,AGX-929,500,500
138,100,113,362,301,505,Car,27128,True,True,203,468,241,491,AGX-929,500,500
139,100,113,362,302,506,Car,27427,True,True,203,468,241,491,AGX-929,500,500
140,100,113,362,302,506,Car,27427,True,True,203,468,241,491,AGX-929,500,500
141,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
142,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
145,100,111,364,303,515,Car,29429,True,True,206,472,245,496,AGX-929,500,500
146,100,111,363,304,515,Car,29585,True,True,206,473,247,497,AGX-929,500,500
147,100,111,363,305,515,Car,29499,True,True,206,473,247,497,AGX-929,500,500
148,100,111,363,306,516,Car,30161,True,True,207,475,248,499,AGX-929,500,500
149,100,111,364,307,517,Car,29721,True,True,208,476,248,500,AGX-929,500,500
150,100,111,364,308,517,Car,29978,True,True,209,477,250,502,AGX-929,500,500
151,100,112,364,310,519,Car,30775,True,True,210,478,250,503,AGX-929,500,500
152,100,112,364,311,519,Car,30672,True,True,211,478,251,503,AGX-929,500,500
153,100,112,364,312,519,Car,30761,True,True,212,478,253,504,AGX-929,500,500
154,100,112,364,313,519,Car,31238,True,True,212,479,254,504,AGX-929,500,500
155,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
156,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
157,100,113,365,315,523,Car,33536,True,True,213,483,256,509,AGX-929,500,500
158,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
159,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
160,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
161,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
162,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
163,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
164,100,119,371,320,531,Car,31799,True,True,216,491,259,517,AGX-929,500,500
165,100,121,371,322,534,Car,33323,True,True,216,493,260,518,AGX-929,500,500
166,100,120,370,322,534,Car,33603,True,True,217,492,261,520,AGX-929,500,500
167,100,120,368,323,534,Car,34812,True,True,217,493,261,520,AGX-929,500,500
168,100,119,367,323,537,Car,36445,True,True,218,494,261,521,AGX-929,500,500
169,100,119,366,325,539,Car,37186,True,True,218,494,262,521,AGX-929,500,500
170,100,118,366,326,540,Car,37694,True,True,219,494,263,521,AGX-929,500,500
171,100,116,366,326,542,Car,38099,True,True,219,495,264,522,AGX-929,500,500
172,100,114,368,327,545,Car,38273,True,True,220,495,265,524,AGX-929,500,500
173,100,114,368,328,546,Car,38407,True,True,220,495,266,524,AGX-929,500,500
174,100,114,369,330,546,Car,38151,True,True,222,495,268,524,AGX-929,500,500
175,100,114,369,332,546,Car,38403,True,True,223,496,269,526,AGX-929,500,500
176,100,114,370,333,548,Car,38855,True,True,223,497,270,526,AGX-929,500,500
177,100,114,370,335,548,Car,39005,True,True,224,498,272,526,AGX-929,500,500
178,100,114,371,336,548,Car,38936,True,True,226,499,274,528,AGX-929,500,500
179,100,115,371,338,548,Car,39387,True,True,227,501,273,528,AGX-929,500,500
180,100,115,372,339,550,Car,40159,True,True,228,502,274,530,AGX-929,500,500
181,100,115,372,341,551,Car,40811,True,True,229,503,276,532,AGX-929,500,500
182,100,115,372,342,552,Car,41469,True,True,230,503,277,532,AGX-929,500,500
183,100,115,371,344,552,Car,42291,True,True,231,506,278,534,AGX-929,500,500
184,100,116,371,347,554,Car,42799,True,True,232,507,280,536,AGX-929,500,500
185,100,116,372,348,556,Car,43196,True,True,233,508,281,537,AGX-929,500,500
186,100,116,372,349,557,Car,44184,True,True,234,509,282,537,AGX-929,500,500
187,100,116,371,351,558,Car,44764,True,True,235,510,283,539,AGX-929,500,500
188,100,116,371,353,560,Car,45367,True,True,236,511,285,540,AGX-929,500,500
189,100,117,372,354,562,Car,45255,True,True,237,513,285,541,AGX-929,500,500
190,100,117,372,355,563,Car,46073,True,True,238,514,287,544,AGX-929,500,500
191,100,117,373,356,565,Car,46799,True,True,239,516,288,545,AGX-929,500,500
192,100,118,373,359,567,Car,47165,True,True,241,519,291,547,AGX-929,500,500
193,100,118,374,361,570,Car,48532,True,True,243,519,292,549,AGX-929,500,500
194,100,118,374,362,572,Car,49742,True,True,243,520,294,550,AGX-929,500,500
195,100,117,375,364,574,Car,51121,True,True,245,521,296,552,AGX-929,500,500
196,100,117,375,367,576,Car,51926,True,True,247,523,298,554,AGX-929,500,500
197,100,116,375,369,578,Car,52843,True,True,250,526,301,556,AGX-929,500,500
198,100,116,375,372,579,Car,53947,True,True,251,526,305,558,AGX-929,500,500
199,100,116,375,375,581,Car,54872,True,True,253,528,306,559,AGX-929,500,500
200,100,117,375,378,583,Car,55700,True,True,255,531,308,562,AGX-929,500,500
201,100,117,376,380,586,Car,57424,True,True,257,533,311,565,AGX-929,500,500
202,100,117,377,383,589,Car,58574,True,True,260,535,315,567,AGX-929,500,500
203,100,119,378,387,593,Car,59756,True,True,262,536,317,570,AGX-929,500,500
204,100,119,378,390,595,Car,60653,True,True,264,539,322,573,AGX-929,500,500
205,100,119,377,393,597,Car,62639,True,True,267,541,322,574,AGX-929,500,500
206,100,119,377,396,600,Car,63996,True,True,268,543,323,576,AGX-929,500,500
207,100,119,377,399,602,Car,65847,True,True,271,545,327,578,AGX-929,500,500
208,100,119,377,402,605,Car,67318,True,True,273,548,330,582,AGX-929,500,500
209,100,119,378,405,609,Car,68632,True,True,275,552,333,586,AGX-929,500,500
210,100,119,378,409,613,Car,71823,True,True,277,554,337,588,AGX-929,500,500
211,100,119,377,412,615,Car,73828,True,True,279,554,340,590,AGX-929,500,500
212,100,120,375,416,618,Car,75429,True,True,282,557,344,595,AGX-929,500,500
213,100,121,375,421,621,Car,78000,True,True,287,560,349,599,AGX-929,500,500
214,100,122,378,426,628,Car,80681,True,True,292,564,355,603,AGX-929,500,500
215,100,124,379,432,634,Car,83711,True,True,298,570,360,608,AGX-929,500,500
216,100,126,380,440,639,Car,86168,True,True,304,575,368,614,AGX-929,500,500
217,100,129,381,447,645,Car,90013,True,True,310,580,377,619,AGX-929,500,500
218,100,132,381,457,649,Car,93816,True,True,317,583,385,623,AGX-929,500,500
219,100,134,382,466,656,Car,97619,True,True,322,588,390,629,AGX-929,500,500
220,100,134,383,471,660,Car,98741,True,True,328,592,398,634,AGX-929,500,500
221,100,135,384,475,666,Car,100651,True,True,333,595,404,640,AGX-929,500,500
222,100,135,384,477,671,Car,102526,True,True,338,599,414,644,AGX-929,500,500
223,100,134,384,478,677,Car,106077,True,True,346,605,420,649,AGX-929,500,500
224,100,133,386,479,685,Car,108364,True,True,354,611,427,655,AGX-929,500,500
225,100,133,386,480,693,Car,111407,True,True,359,619,435,665,AGX-929,500,500
226,100,134,388,481,701,Car,112323,True,True,368,626,446,673,AGX-929,500,500
227,100,135,389,481,710,Car,116225,True,True,373,633,455,681,AGX-929,500,500
228,100,135,391,481,719,Car,117058,True,True,383,639,462,688,AGX-929,500,500
229,100,135,394,481,729,Car,121057,True,True,393,647,472,697,AGX-929,500,500
230,100,135,395,481,738,Car,123798,True,True,401,655,478,706,AGX-929,500,500
231,100,135,395,481,747,Car,126458,True,True,413,668,478,716,AGX-929,500,500
232,100,136,397,481,759,Car,131082,True,True,421,676,478,727,AGX-929,500,500
233,100,135,399,481,772,Car,135659,True,True,432,687,478,738,AGX-929,500,500
234,100,135,400,480,782,Car,139413,True,True,440,693,478,752,AGX-929,500,500
235,100,135,402,480,797,Car,145635,True,False,0,0,0,0,,500,500
236,100,135,404,481,812,Car,149506,True,False,0,0,0,0,,500,500
237,100,136,405,481,824,Car,151941,True,False,0,0,0,0,,500,500
238,100,137,405,481,835,Car,153872,True,False,0,0,0,0,,500,500
239,100,138,402,481,840,Car,153063,True,False,0,0,0,0,,500,500
240,100,139,401,481,844,Car,152592,True,False,0,0,0,0,,500,500
241,100,140,401,481,848,Car,150226,True,False,0,0,0,0,,500,500
242,100,142,401,481,849,Car,149677,True,False,0,0,0,0,,500,500
243,100,144,399,481,850,Car,148918,True,False,0,0,0,0,,500,500
244,100,146,397,482,850,Car,148010,True,False,0,0,0,0,,500,500
245,100,148,394,482,849,Car,148699,True,False,0,0,0,0,,500,500
246,100,149,396,481,851,Car,146272,True,False,0,0,0,0,,500,500
247,100,151,400,481,853,Car,143491,True,False,0,0,0,0,,500,500
248,100,152,403,480,854,Car,141680,True,False,0,0,0,0,,500,500
249,100,153,405,480,854,Car,140264,True,False,0,0,0,0,,500,500
250,100,155,408,480,854,Car,138719,True,False,0,0,0,0,,500,500
251,100,156,411,480,854,Car,138181,True,False,0,0,0,0,,500,500
252,100,157,412,480,854,Car,136593,True,False,0,0,0,0,,500,500
253,100,159,413,480,853,Car,135913,True,False,0,0,0,0,,500,500
254,100,160,415,480,853,Car,134032,True,False,0,0,0,0,,500,500
255,100,162,418,480,853,Car,131996,True,False,0,0,0,0,,500,500
256,100,163,422,480,853,Car,130433,True,False,0,0,0,0,,500,500
257,100,165,424,481,853,Car,129286,True,False,0,0,0,0,,500,500
258,100,168,426,481,853,Car,127349,True,False,0,0,0,0,,500,500
259,100,171,429,482,853,Car,124609,True,False,0,0,0,0,,500,500
260,100,174,432,482,854,Car,121903,True,False,0,0,0,0,,500,500
261,100,177,437,482,855,Car,119971,True,False,0,0,0,0,,500,500
262,100,180,441,482,855,Car,116880,True,False,0,0,0,0,,500,500
263,100,184,444,482,855,Car,114852,True,False,0,0,0,0,,500,500
264,100,187,446,482,854,Car,113649,True,False,0,0,0,0,,500,500
265,100,191,451,483,855,Car,109679,True,False,0,0,0,0,,500,500
266,100,195,454,483,855,Car,107246,True,False,0,0,0,0,,500,500
267,100,198,462,483,856,Car,103121,True,False,0,0,0,0,,500,500
268,100,202,468,483,857,Car,99526,True,False,0,0,0,0,,500,500
269,100,206,474,483,857,Car,97004,True,False,0,0,0,0,,500,500
270,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
271,100,211,485,484,859,Car,89768,True,False,0,0,0,0,,500,500
272,100,216,496,484,861,Car,85352,True,False,0,0,0,0,,500,500
273,100,223,505,485,861,Car,80812,True,False,0,0,0,0,,500,500
274,100,230,515,486,861,Car,75794,True,False,0,0,0,0,,500,500
275,100,239,525,487,862,Car,70377,True,False,0,0,0,0,,500,500
276,100,246,533,487,861,Car,66801,True,False,0,0,0,0,,500,500
